DATE,CODE,PUBLISHER,TITLE,PRICE
03/08/23,JAN231097,ABLAZE PUBLISHING,Children Of The Black Sun #3 (Cover A Letizia Cadonici),$3.99 
03/08/23,JAN231098,ABLAZE PUBLISHING,Children Of The Black Sun #3 (Cover B Keyla Valerio),$3.99 
03/08/23,JAN231099,ABLAZE PUBLISHING,Children Of The Black Sun #3 (Cover C Fritz Casis Giant-Size X-Men #1 Homage Variant),$3.99 
03/08/23,JAN231100,ABLAZE PUBLISHING,Children Of The Black Sun #3 (Cover D Letizia Cadonici Virgin Variant),AR
03/08/23,JAN231101,ABLAZE PUBLISHING,Children Of The Black Sun #3 (Cover E Keyla Valerio Virgin Variant),AR
03/08/23,JAN231102,ABLAZE PUBLISHING,Children Of The Black Sun #3 (Cover F Fritz Casis Giant-Size X-Men #1 Homage Virgin Variant),AR
03/08/23,DEC220991,ABLAZE PUBLISHING,Traveling To Mars #4 (Cover A Roberto Meli),$3.99 
03/08/23,DEC220992,ABLAZE PUBLISHING,Traveling To Mars #4 (Cover B Emilio Pilliu),$3.99 
03/08/23,DEC220993,ABLAZE PUBLISHING,Traveling To Mars #4 (Cover C Alessandro Amoruso),$3.99 
03/08/23,DEC220994,ABLAZE PUBLISHING,Traveling To Mars #4 (Cover D Brent McKee Marvel Premiere #1 Warlock Homage Variant),$3.99 
03/08/23,DEC220995,ABLAZE PUBLISHING,Traveling To Mars #4 (Cover E Roberto Meli Virgin Variant),AR
03/08/23,DEC220996,ABLAZE PUBLISHING,Traveling To Mars #4 (Cover F Emilio Pilliu Virgin Variant),AR
03/08/23,DEC220997,ABLAZE PUBLISHING,Traveling To Mars #4 (Cover G Alessandro Amoruso Virgin Variant),AR
03/08/23,JAN231148,ABRAMS COMICARTS - SURELY,Mimosa GN,$24.99 
03/08/23,OCT221323,AC COMICS,Femforce #199,$5.95
03/08/23,SEP221178,AFTERSHOCK COMICS,Samurai Doggy #4,$3.99 
03/08/23,JAN231158,AHOY COMICS,Gimmick #1 (Of 5)(Cover A Erica Henderson),$3.99 
03/08/23,JAN231159,AHOY COMICS,Gimmick #1 (Of 5)(Cover B Khary Randolph),$3.99 
03/08/23,JAN231235,ARCHIE COMIC PUBLICATIONS,Archie Jumbo Comics Digest #338,$9.99 
03/08/23,JAN231233,ARCHIE COMIC PUBLICATIONS,Betty And Veronica Friends Forever Rock And Roll #1,$2.99 
03/08/23,JAN231351,AWA STUDIOS,Black Tape #2 (Of 4)(Cover A Dan Panosian),$3.99 
03/08/23,JAN231352,AWA STUDIOS,Black Tape #2 (Of 4)(Cover B Joe Quesada),$3.99 
03/08/23,JAN231353,AWA STUDIOS,Black Tape #2 (Of 4)(Cover C Chris Ferguson Heavy Metal Homage Variant),$3.99 
03/08/23,JAN231354,AWA STUDIOS,Black Tape #2 (Of 4)(Cover D Walt Simonson & Dan Panosian),AR
03/08/23,DEC228014,AWA STUDIOS,Black Tape #2 (Of 4)(Cover E Dan Panosian Black & White Variant),AR
03/08/23,JAN231374,BATTLE QUEST COMICS,Trident Of Aurelia #2 (Of 4),$4.99 
03/08/23,JAN231379,BLACK PANEL PRESS,All Talk GN (not verified by Diamond Distribution),$29.99 
03/08/23,DEC229095,BOOM! STUDIOS,Briar #3 (Of 4)(2nd Printing Cover A German Garcia),$3.99 
03/08/23,JAN230351,BOOM! STUDIOS,Know Your Station #4 (Of 5)(Cover A Liana Kangas),$3.99
03/08/23,JAN230352,BOOM! STUDIOS,Know Your Station #4 (Of 5)(Cover B Becca Carey),$3.99
03/08/23,JAN230353,BOOM! STUDIOS,Know Your Station #4 (Of 5)(Cover C Liana Kangas Cardstock Virgin Variant),AR
03/08/23,JAN230354,BOOM! STUDIOS,Know Your Station #4 (Of 5)(Cover D Ming Doyle Virgin Variant),AR
03/08/23,DEC229096,BOOM! STUDIOS,Once Upon A Time At The End Of The World #1 (3rd Printing Cover A A.L. Kaplan),$4.99
03/08/23,NOV220390,BOOM! STUDIOS,Power Rangers Volume 6 TP,$16.99
03/08/23,JAN231412,CALIBER ENTERTAINMENT,Battron Against The Chariots TP,$14.99
03/08/23,JAN231438,COMIC SHOP NEWS,Comic Shop News #1855,AR
03/08/23,JAN230469,DARK HORSE COMICS,Assassin's Apprentice I #4 (Of 6)(Cover A Anna Steinbauer),$3.99
03/08/23,NOV220498,DARK HORSE COMICS,Berserk Deluxe Edition Volume 13 HC,$49.99 
03/08/23,JAN230404,DARK HORSE COMICS,Clear #1 (Of 3)(Cover A Francis Manapul),$4.99
03/08/23,JAN230405,DARK HORSE COMICS,Clear #1 (Of 3)(Cover B Francis Manapul),$5.99
03/08/23,JAN230406,DARK HORSE COMICS,Clear #1 (Of 3)(Cover C Francis Manapul),$5.99
03/08/23,JAN230407,DARK HORSE COMICS,Clear #1 (Of 3)(Cover D Francis Manapul),$5.99
03/08/23,JAN230408,DARK HORSE COMICS,Clear #1 (Of 3)(Cover E Francis Manapul Foil Variant),$5.99
03/08/23,JAN230409,DARK HORSE COMICS,Clear #1 (Of 3)(Cover F Christian Ward),AR
03/08/23,JAN230410,DARK HORSE COMICS,Clear #1 (Of 3)(Cover G Mike Del Mundo),AR
03/08/23,JAN230411,DARK HORSE COMICS,Clear #1 (Of 3)(Cover H Cliff Chiang Reveal Variant),$5.99
03/08/23,NOV220440,DARK HORSE COMICS,Snow Angels Library Edition HC,$49.99
03/08/23,JAN230474,DARK HORSE COMICS,Space Job #2 (Of 4)(Cover A Alvaro Sarraseca),$3.99
03/08/23,NOV220480,DARK HORSE COMICS,Stephen McCranie's Space Boy Volume 15 TP,$12.99
03/08/23,0123DC001,DC COMICS,Adventures Of Superman Jon Kent #1 (Of 6)(Cover A Clayton Henry),$3.99
03/08/23,0123DC002,DC COMICS,Adventures Of Superman Jon Kent #1 (Of 6)(Cover B Zu Orzu Card Stock Variant),$4.99
03/08/23,0123DC003,DC COMICS,Adventures Of Superman Jon Kent #1 (Of 6)(Cover C Rafael Sarmento Card Stock Variant),$4.99
03/08/23,0123DC004,DC COMICS,Adventures Of Superman Jon Kent #1 (Of 6)(Cover D Yasmin Flores Montanez Card Stock Variant),$4.99
03/08/23,0123DC005,DC COMICS,Adventures Of Superman Jon Kent #1 (Of 6)(Cover E Al Kaplan Card Stock Variant),$4.99
