DATE,CODE,PUBLISHER,TITLE,PRICE
03/22/23,JAN231275,A WAVE BLUE WORLD,Tower #2 (Of 5)(Cover A Loyiso Mkize & Andrew Dalhouse),$4.99 
03/22/23,JAN231276,A WAVE BLUE WORLD,Tower #2 (Of 5)(Cover B Loyiso Mkize & Andrew Dalhouse Virgin Variant)(not verified by Diamond Distribution),AR
03/22/23,JAN231145,ABRAMS COMICARTS,Marvel Value Stamps A Visual History HC,$29.99 
03/22/23,JAN231155,ACONYTE,Marvel Heroines Novel Silver Sable Payback SC,$16.95 
03/22/23,JAN231222,AMULET BOOKS,Batcat Volume 1 GN,$13.99 
03/22/23,JAN231226,ANDREWS MCMEEL,Bright Family Volume 2 Family Vacation GN,$12.99
03/22/23,JAN231227,ANDREWS MCMEEL,Bright Family Volume 2 Family Vacation HC,$21.99 
03/22/23,NOV221276,ANTARCTIC PRESS,Exciting Comics #32,$4.99 
03/22/23,APR221244,ANTARCTIC PRESS,Gold Digger #296,$3.99 
03/22/23,OCT221386,ANTARCTIC PRESS,Ninja High School #186,$4.99 
03/22/23,DEC221129,ANTARCTIC PRESS,Spectreman Heroes #5 (Of 5)(Cover A Hiroshi Kanatani),$4.99 
03/22/23,DEC221130,ANTARCTIC PRESS,Spectreman Heroes #5 (Of 5)(Cover B Jeff Zornow),$9.99 
03/22/23,JAN231231,ARCHIE COMIC PUBLICATIONS,Archie Decades The 1960s TP,$11.99 
03/22/23,JAN231229,ARCHIE COMIC PUBLICATIONS,Chilling Adventures Presents Pop's Chock'lit Shoppe Of Horrors #1 (One Shot)(Cover A Adam Gorham),$3.99 
03/22/23,JAN231230,ARCHIE COMIC PUBLICATIONS,Chilling Adventures Presents Pop's Chock'lit Shoppe Of Horrors #1 (One Shot)(Cover B Francesco Francavilla),$3.99 
03/22/23,NOV221293,ASPEN COMICS,Batman #125 Cover A & D Michael Turner Set,$59.99 
03/22/23,JAN231274,ATRIA BOOKS,Ringmaster Vince McMahon And The Unmaking Of America HC,$29.99 
03/22/23,FEB231200,AVATAR PRESS,Crossed Badlands Art Deco Covers Bag Set A (5 Count),$19.99
03/22/23,FEB231201,AVATAR PRESS,Crossed Badlands Art Deco Covers Bag Set B (5 Count),$19.99
03/22/23,FEB231202,AVATAR PRESS,Crossed Badlands Art Deco Covers Bag Set C (5 Count),$19.99
03/22/23,FEB231203,AVATAR PRESS,Crossed Badlands Art Deco Covers Bag Set D (5 Count),$19.99
03/22/23,FEB231204,AVATAR PRESS,Crossed Badlands Art Deco Covers Bag Set E (5 Count),$19.99
03/22/23,FEB231205,AVATAR PRESS,Crossed Badlands Art Deco Covers Bag Set F (5 Count),$19.99
03/22/23,FEB231196,AVATAR PRESS,Escape Of The Living Dead Nightmares Covers Bag Set (5 Count),$19.99
03/22/23,FEB231198,AVATAR PRESS,Garth Ennis 303 Platinum Foil Covers Bag Set (6 Count),$19.99 
03/22/23,FEB231195,AVATAR PRESS,Living Dead Leather Covers Bag Set (3 Count),$24.99
03/22/23,FEB231194,AVATAR PRESS,Night Of The Living Dead Rotting Covers Bag Set (5 Count),$19.99
03/22/23,FEB231242,AVATAR PRESS,Ravening Bloody Covers Bag Set (5 Count),$19.99
03/22/23,FEB231199,AVATAR PRESS,Streets Of Glory Platinum Foil Covers Bag Set (6 Count),$19.99
